date,member,rideable,count,duration
2020-11-13,member,docked_bike,3350,2549009.0
2020-11-15,casual,electric_bike,599,569365.0
2020-11-15,casual,docked_bike,384,698736.0
2020-11-15,member,electric_bike,1208,748035.0
2020-11-15,member,docked_bike,1246,841229.0
2020-12-27,member,classic_bike,1591,1404451.0
2020-12-27,member,electric_bike,754,644425.0
2020-12-27,casual,docked_bike,249,777437.0
2020-12-27,casual,electric_bike,423,528023.0
2020-12-27,casual,classic_bike,477,748444.0
2020-12-18,member,electric_bike,1368,985681.0
2020-12-18,member,classic_bike,2575,1901482.0
2020-12-18,casual,electric_bike,520,509256.0
2020-12-18,casual,classic_bike,464,614988.0
2020-12-18,casual,docked_bike,85,220773.0
2020-12-15,member,electric_bike,1154,777251.0
2020-12-15,member,classic_bike,2480,1729183.0
2020-12-15,member,docked_bike,0,0
2020-12-15,casual,electric_bike,378,295748.0
2020-12-15,casual,classic_bike,324,353569.0
2020-12-15,casual,docked_bike,69,117863.0
2020-12-22,member,electric_bike,1282,918246.0
2020-12-22,member,classic_bike,2484,2030933.0
2020-12-22,casual,electric_bike,472,418997.0
2020-12-22,casual,classic_bike,477,665945.0
2020-12-22,casual,docked_bike,140,328943.0
2020-12-03,member,electric_bike,1481,1061205.0
2020-12-03,member,docked_bike,2196,1633917.0
2020-12-03,member,classic_bike,568,431202.0
2020-12-03,casual,electric_bike,578,491957.0
2020-12-03,casual,classic_bike,101,144250.0
2020-12-03,casual,docked_bike,483,719732.0
2020-12-12,member,electric_bike,784,511771.0
2020-12-12,member,classic_bike,1136,825005.0
2020-12-12,casual,electric_bike,249,212025.0
2020-12-12,casual,docked_bike,70,146637.0
2020-12-12,casual,classic_bike,228,271988.0
2020-12-19,member,electric_bike,1148,838632.0
2020-12-19,member,classic_bike,2478,1966423.0
2020-12-19,casual,docked_bike,266,813366.0
2020-12-19,casual,classic_bike,631,968204.0
2020-12-19,casual,electric_bike,606,624588.0
2020-12-04,member,electric_bike,1593,1174842.0
2020-12-04,member,classic_bike,2659,2135754.0
2020-12-04,member,docked_bike,466,374616.0
2020-12-04,casual,docked_bike,205,494756.0
2020-12-04,casual,electric_bike,664,660358.0
2020-12-04,casual,classic_bike,530,684359.0
2020-12-21,member,electric_bike,1257,864547.0
2020-12-21,member,classic_bike,2332,1810465.0
2020-12-21,casual,electric_bike,496,489998.0
2020-12-21,casual,classic_bike,446,588353.0
2020-12-21,casual,docked_bike,147,368065.0
2020-12-11,member,electric_bike,1103,729263.0
2020-12-11,member,classic_bike,2037,1420834.0
2020-12-11,casual,docked_bike,65,155763.0
2020-12-11,casual,electric_bike,387,354472.0
2020-12-11,casual,classic_bike,267,297565.0
2020-12-14,member,electric_bike,1227,848570.0
2020-12-14,member,classic_bike,2362,1588345.0
2020-12-14,casual,electric_bike,411,333783.0
2020-12-14,casual,classic_bike,325,314635.0
2020-12-14,casual,docked_bike,94,156889.0
2020-12-10,member,electric_bike,1683,1332084.0
2020-12-10,member,classic_bike,3989,3422704.0
2020-12-10,casual,docked_bike,251,696799.0
2020-12-10,casual,electric_bike,902,957668.0
2020-12-10,casual,classic_bike,839,1185792.0
2020-12-23,member,electric_bike,1136,800160.0
2020-12-23,member,classic_bike,2343,1809935.0
2020-12-23,casual,electric_bike,517,517261.0
2020-12-23,casual,classic_bike,404,574241.0
2020-12-23,casual,docked_bike,145,281710.0
2020-12-02,member,electric_bike,1389,937727.0
2020-12-02,member,docked_bike,2700,2008059.0
2020-12-02,member,classic_bike,261,186649.0
2020-12-02,casual,electric_bike,528,490181.0
2020-12-02,casual,docked_bike,514,765718.0
2020-12-02,casual,classic_bike,40,74881.0
2020-12-26,member,electric_bike,597,452250.0
2020-12-26,member,classic_bike,1113,945333.0
2020-12-26,casual,electric_bike,245,300870.0
2020-12-26,casual,classic_bike,320,581116.0
2020-12-26,casual,docked_bike,131,534110.0
2020-12-06,member,electric_bike,1095,813815.0
2020-12-06,member,classic_bike,2020,1625008.0
2020-12-06,casual,electric_bike,518,533606.0
2020-12-06,casual,classic_bike,463,769998.0
2020-12-06,casual,docked_bike,179,432995.0
2020-12-07,member,electric_bike,1237,860604.0
2020-12-07,member,classic_bike,2580,1806541.0
2020-12-07,casual,electric_bike,461,432061.0
2020-12-07,casual,classic_bike,334,424985.0
2020-12-07,casual,docked_bike,72,164417.0
2020-12-05,member,electric_bike,1473,1097895.0
2020-12-05,member,classic_bike,2765,2287504.0
2020-12-05,casual,docked_bike,256,668267.0
2020-12-05,casual,electric_bike,741,742077.0
2020-12-05,casual,classic_bike,821,1154867.0
2020-12-09,member,electric_bike,1579,1245215.0
2020-12-09,member,classic_bike,3571,2826310.0
2020-12-09,casual,electric_bike,656,669536.0
2020-12-09,casual,classic_bike,674,1005932.0
2020-12-09,casual,docked_bike,156,397190.0
2020-12-28,member,electric_bike,934,680774.0
